timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0.408942,0.000293055803969,0.001422,-0.00070055523477,-0.000729496194927
0.409625,0.000290192392723,0.001701,-0.000699716057183,-0.00072902533265
0.410232,0.000288500900388,0.002177,-0.000700311930601,-0.000728475664523
0.41084,0.000285385050038,0.001572,-0.000699628713893,-0.000728161444352
0.411522,0.000282963116642,0.00275,-0.00069892722294,-0.000728054965819
0.412046,0.000283985595689,0.001463,-0.000699369823666,-0.000728059022599
0.412595,0.000283203726333,0.000955,-0.000700398070378,-0.00072787440253
0.413163,0.000283812052597,0.00114,-0.000700501417268,-0.000727581088449
0.413738,0.000282409946213,0.002478,-0.000700517563166,-0.000727078260773
0.414256,0.000281583155681,0.001172,-0.00069979044793,-0.000727100620438
0.4149,0.000281906648591,0.00207,-0.000699459372659,-0.000726689840984
0.415374,0.000281928214706,0.001092,-0.000699068684544,-0.000726447674062
0.416031,0.000279923320011,0.001729,-0.000698813806972,-0.000727290633376
0.416516,0.00027803533212,0.000944,-0.000698652817383,-0.000727843963474
0.417071,0.000275985682933,0.001103,-0.000698430150444,-0.000727616620955
0.4177,0.00027563483503,0.001768,-0.000699557533288,-0.000727100620438
0.418419,0.000274012056772,0.00196,-0.000699012536937,-0.000727931216666
0.418899,0.000274036981441,0.0013154,-0.000698705766346,-0.00072926370747
0.419656,0.000273247171012,0.00136,-0.00069822035806,-0.000728523285451
0.420116,0.000275204368154,0.001259,-0.000697965020633,-0.000728859529918
0.42069,0.000276474159984,0.001155,-0.000699213341732,-0.000729028368768
0.421376,0.000275067192168,0.002665,-0.000699251118,-0.000729016629002
0.421988,0.000274651752986,0.000976,-0.000700090047958,-0.000728927963756
0.422555,0.000277775100297,0.001044,-0.000700006006791,-0.000728153332577
0.423249,0.000279125926054,0.001307,-0.00070067038351,-0.000728010338849
0.42377,0.000279893445658,0.001089,-0.000700363616363,-0.000728299322451
0.42449,0.000279590910759,0.00116,-0.000700203156571,-0.000728434118799
0.424939,0.000279668689904,0.001458,-0.000699505758807,-0.000727135174129
0.4256,0.000281925699881,0.001749,-0.000699396798049,-0.000727905854087
0.426073,0.000282216036914,0.002046,-0.000700168688259,-0.000727735380959
0.426704,0.000280033398096,0.001629,-0.000699170165139,-0.000727516107566
0.427297,0.000280196885627,0.002184,-0.000698349056225,-0.000727824684354
0.427964,0.000278058541411,0.001794,-0.000697873021964,-0.000728590148993
0.428441,0.000275713659905,0.001916,-0.000697197092948,-0.000729163860199
0.429043,0.000274100203592,0.001454,-0.000697502680945,-0.000728043809486
0.429726,0.000271238207338,0.002423,-0.000696757869745,-0.000728197945554
0.430193,0.000267108781089,0.001633,-0.00069746151397,-0.000727818596042
0.430785,0.000268396302531,0.001661,-0.000698041852809,-0.000727596317005
0.431412,0.000272331078198,0.001654,-0.000698899141532,-0.000726517895337
0.431881,0.000270668935186,0.001491,-0.000698301474447,-0.000726460904983
0.432493,0.00026944692378,0.001119,-0.00069825172472,-0.000726767144555
0.432993,0.000268649400482,0.001829,-0.00069773877991,-0.000726544352728
0.433627,0.000267008991684,0.001248,-0.000696715552575,-0.000726696961597
0.43423,0.000265951007488,0.001224,-0.000696273708246,-0.000726987794586
0.43485,0.000262947150091,0.001295,-0.000695570464233,-0.00072696237951
0.435519,0.000262344429012,0.000997,-0.000694939153064,-0.00072624305489
0.436087,0.000260595728145,0.001786,-0.00069466241649,-0.000725800927578
0.43676,0.000260041793464,0.002098,-0.000694525077569,-0.000725125705959
0.43741,0.000261876318717,0.002299,-0.000696152046999,-0.000725761176291
0.437825,0.000263601997496,0.001292,-0.000696629821542,-0.000726588105818
0.438508,0.000260851505579,0.002443,-0.000696170515458,-0.000726130016951
0.439063,0.000260245546938,0.002114,-0.00069622048531,-0.000726103535553
0.439582,0.000262564629491,0.001434,-0.00069676871969,-0.000727008125628
0.440144,0.00026175489146,0.001188,-0.000696326925179,-0.000726150386213
0.440762,0.000256062790372,0.002121,-0.000695882542577,-0.00072490721852
0.441258,0.000254556086564,0.001512,-0.000696704701407,-0.000725713266301
0.441857,0.000252514111077,0.00193,-0.000696737254162,-0.000726786468403
0.44247,0.000252120595645,0.002621,-0.00069634647275,-0.000727058949272
0.443,0.000252960482681,0.001136,-0.00069696289149,-0.000726980678507
0.443533,0.00025346953179,0.002153,-0.000696466998207,-0.000726554528239
0.444237,0.00025276044247,0.001452,-0.000696984581698,-0.000725834560582
0.444883,0.000254484976103,0.0018,-0.000697543844325,-0.000725710208046
0.445472,0.000255044541887,0.001089,-0.000698435556229,-0.000724666148722
0.446089,0.000252229927943,0.00157,-0.00069854149708,-0.000724317598857
0.446578,0.000252614974645,0.001156,-0.000698058083355,-0.000724374856934
0.447153,0.000251884131273,0.00141,-0.000697352078998,-0.000724205106785
0.447792,0.000252471729489,0.001359,-0.000696522364447,-0.000723982086264
0.448397,0.000253118881727,0.001079,-0.000696651527074,-0.000724299192955
0.449001,0.000254819974583,0.001239,-0.000696760039754,-0.000725334906855
0.449499,0.000255114430848,0.002053,-0.000696345386795,-0.000723936036392
0.450222,0.000259522561077,0.002139,-0.00069643985552,-0.000724774441545
0.450686,0.000261954723677,0.001112,-0.000697161319698,-0.000724835728013
0.451413,0.00026298424171,0.002402,-0.000696576638767,-0.000724824492775
